TymeBreathRate,tidal_volume,TymeVentilation
28.62,268.7,74.06
28.6,269.0,74.24
28.57,269.2,74.47
28.5,269.5,74.56
28.45,268.9,74.6
28.42,267.5,74.6
28.39,267.3,74.66
28.35,268.9,74.79
28.3,270.1,74.63
28.25,271.1,74.36
28.21,272.1,74.28
28.18,273.0,74.19
28.16,274.0,74.2
28.17,275.2,74.39
28.17,276.1,74.55
28.17,275.1,74.38
28.17,274.0,74.21
28.23,274.8,74.06
28.28,275.5,73.97
28.3,275.5,74.19
28.32,275.5,74.4
28.29,276.1,74.43
28.23,277.2,74.31
28.13,277.8,74.14
27.96,277.5,73.89
27.8,277.2,73.63
27.51,276.7,73.8
27.21,276.3,74.02
26.95,276.1,74.07
26.69,276.0,74.12
26.49,275.0,73.94
26.34,273.4,73.62
26.19,271.9,73.31
26.0,273.4,73.75
25.82,274.7,73.9
25.69,275.5,73.5
25.57,276.3,73.15
25.54,277.5,73.4
25.51,278.6,73.65
25.48,279.8,73.85
25.45,281.2,74.01
25.42,282.6,74.18
25.38,283.4,74.0
25.35,284.2,73.77
25.31,284.8,73.7
25.27,285.0,73.87
25.23,285.3,74.04
25.21,285.0,74.18
25.19,284.6,74.29
25.15,284.2,74.39
25.08,283.9,74.45
25.01,283.4,74.44
24.98,282.4,74.06
24.95,281.5,73.68
24.91,280.9,73.65
24.86,280.6,73.94
24.83,280.8,74.11
24.81,281.2,74.22
24.79,281.6,74.33
24.79,280.7,74.11
24.8,278.9,73.7
24.81,277.3,73.34
24.83,277.5,73.36
24.86,277.7,73.38
24.9,278.0,73.4
24.94,278.2,73.42
25.0,278.0,73.41
25.07,277.3,73.37
25.16,277.1,73.36
25.31,279.2,73.5
25.46,281.1,73.76
25.59,282.4,74.26
25.73,283.6,74.76
25.9,285.0,74.99
26.1,286.4,75.11
26.28,287.1,75.32
26.45,287.2,75.57
26.61,287.3,75.78
26.73,287.5,75.6
26.85,287.8,75.41
26.94,287.4,75.44
27.03,286.7,75.55
27.1,285.7,75.54
27.16,284.5,75.42
27.27,284.5,75.69
27.39,284.9,76.05
27.42,284.4,76.18
27.44,283.8,76.28
27.47,283.7,76.13
27.51,283.6,75.95
27.52,282.4,76.09
27.53,281.3,76.23
27.57,280.9,76.48
27.62,281.1,76.82
27.64,281.2,77.02
27.62,281.2,76.88
27.6,281.1,76.8
27.62,281.0,76.91
27.63,280.8,77.03
27.62,280.1,77.26
27.59,279.3,77.53
27.59,278.8,77.69
27.61,278.4,77.81
27.63,278.0,77.93
27.61,276.2,77.64
27.57,274.9,77.38
27.51,275.0,77.27
27.45,275.2,77.17
27.39,275.3,77.06
27.34,275.2,76.93
27.33,274.8,76.91
27.37,274.1,77.02
27.4,273.3,77.13
27.44,272.6,77.24
27.51,272.0,77.46
27.58,271.3,77.67
27.66,272.1,77.83
27.75,273.1,77.99
27.92,273.7,78.09
28.12,274.0,78.17
28.32,275.1,78.25
28.52,276.2,78.33
28.65,275.4,77.91
28.78,274.7,77.48
28.94,273.0,77.15
29.14,270.7,76.89
29.21,270.2,76.97
29.27,269.9,77.09
29.42,270.0,77.22
29.57,270.1,77.36
29.64,270.3,77.39
29.72,270.5,77.42
29.87,269.7,77.18
30.05,268.3,76.95
30.19,266.5,77.13
30.3,265.5,76.92
30.4,265.1,76.47
30.47,264.3,76.11
30.49,262.5,75.93
30.51,260.8,75.75
30.5,261.7,76.2
30.48,263.7,76.93
30.45,264.4,77.45
30.42,261.4,77.39
30.4,259.4,77.3
30.4,257.9,77.2
30.42,258.2,77.55
30.45,258.5,77.92
30.41,259.6,78.09
30.35,260.9,78.2
30.29,260.9,78.39
30.23,260.9,78.59
30.14,260.7,78.75
30.0,260.3,78.8
29.85,260.2,78.93
29.68,260.8,79.26
29.59,261.5,79.45
29.56,262.2,79.49
29.58,262.9,79.51
29.62,263.6,79.53
29.67,262.8,79.29
29.71,261.2,78.93
29.75,259.7,78.57
29.87,261.8,79.2
29.99,263.9,79.83
30.04,265.8,79.73
30.09,267.0,79.68
30.15,267.3,79.72
30.21,267.5,79.75
30.31,266.7,79.72
30.43,265.3,79.64
30.57,264.3,79.63
30.72,263.7,79.69
30.76,263.8,79.39
30.78,264.0,79.05
30.8,263.5,78.4
30.8,262.8,77.78
30.75,262.4,77.47
30.73,262.3,77.25
30.75,262.5,77.1
30.73,262.6,77.02
30.64,262.6,77.06
30.64,263.2,77.21
30.65,263.9,77.38
30.74,264.9,77.66
30.85,266.0,77.97
30.83,267.3,78.04
30.82,268.6,78.11
30.73,269.1,78.05
30.62,269.3,77.92
30.5,269.2,77.82
30.39,268.7,77.74
30.21,268.7,77.74
29.98,269.2,77.82
29.79,269.5,77.58
29.6,269.8,77.25
29.39,269.6,76.91
29.1,268.5,76.55
28.83,268.1,76.6
28.6,269.5,77.57
28.38,270.3,78.16
28.18,269.3,77.56
27.97,268.3,76.96
27.82,270.8,77.23
27.67,273.3,77.54
27.53,274.3,77.51
27.39,274.4,77.32
27.29,274.0,77.18
27.21,273.1,77.09
27.13,272.2,77.0
26.99,271.4,77.03
26.86,270.6,77.06
26.77,270.3,76.78
26.68,270.2,76.44
26.6,270.0,76.35
26.51,269.9,76.53
26.4,269.7,76.51
26.26,269.6,75.9
26.16,269.1,75.47
26.1,268.3,75.21
26.04,267.5,74.95
25.96,266.5,74.66
25.87,265.6,74.36
25.82,266.1,74.57
25.8,267.4,75.13
25.79,268.6,75.51
25.92,268.8,74.98
26.05,269.0,74.45
26.16,268.6,74.39
26.26,268.1,74.38
26.38,268.0,74.56
26.5,268.4,75.15
26.63,268.8,75.75
26.92,268.2,76.03
27.25,266.9,76.0
27.42,265.4,75.79
27.59,264.0,75.58
27.72,263.3,75.76
27.82,263.1,76.19
27.91,262.9,76.62
27.94,263.2,77.3
27.97,263.7,78.0
28.12,263.7,78.45
28.13,263.7,78.71
28.12,263.8,78.96
28.19,262.5,79.09
28.27,261.2,79.21
28.45,260.6,79.05
28.66,260.3,78.94
28.89,260.7,79.34
29.11,261.1,79.75
29.37,260.8,80.04
29.67,259.9,80.24
30.01,259.5,80.44
30.43,260.1,80.64
30.87,260.5,80.81
31.42,258.8,80.54
31.78,257.9,80.38
31.93,258.0,80.33
32.09,258.0,80.29
32.27,257.9,80.24
32.47,257.7,80.19
32.72,257.6,80.06
32.93,257.7,79.72
32.94,258.1,78.92
32.96,258.1,78.68
