TymeBreathRate,tidal_volume,TymeVentilation
31.11,265.7,76.51
31.05,265.0,76.33
30.96,264.1,76.43
30.88,263.2,76.52
30.72,264.9,76.81
30.51,268.5,77.25
30.37,267.2,76.4
30.23,264.8,75.37
30.03,262.7,75.4
29.83,261.2,75.47
29.65,262.3,75.72
29.48,263.4,75.97
29.31,264.7,76.27
29.16,266.0,76.61
28.95,266.9,76.44
28.71,267.7,75.98
28.51,268.3,75.52
28.31,268.8,75.06
28.28,268.2,75.02
28.3,267.2,75.15
28.33,266.1,75.2
28.35,265.1,75.11
28.38,264.1,75.01
28.37,265.1,75.12
28.36,266.3,75.26
28.35,267.4,75.39
28.34,268.6,75.52
28.44,267.5,74.89
28.55,266.2,74.2
28.62,265.2,74.02
28.69,264.2,73.87
28.65,263.4,73.42
28.61,262.7,72.97
28.56,262.0,72.83
28.48,261.6,73.16
28.39,260.6,73.54
28.3,259.6,73.95
28.29,260.3,74.42
28.29,261.0,74.9
28.28,261.8,75.38
28.28,262.5,75.4
28.29,263.1,75.19
28.29,261.0,74.59
28.31,258.6,74.12
28.4,257.0,74.66
28.5,255.4,75.12
28.69,254.2,75.03
28.88,253.0,74.93
28.97,252.9,75.05
29.06,252.9,75.17
29.12,253.4,75.32
29.14,254.4,75.52
29.16,255.5,75.76
29.19,256.9,76.08
29.28,256.7,76.1
29.38,256.3,76.05
29.44,255.8,76.24
29.49,255.3,76.56
29.54,255.0,76.87
29.61,256.6,77.11
29.75,257.8,77.26
29.99,258.4,77.24
30.23,258.9,77.28
30.48,259.2,77.35
30.73,260.1,77.55
30.97,262.5,78.21
31.21,264.5,78.75
31.52,264.0,78.29
31.79,263.1,78.0
32.02,261.5,78.0
32.07,262.8,78.51
32.1,264.3,79.07
32.12,265.3,79.08
32.08,265.7,78.66
31.92,265.8,78.39
31.68,266.1,78.26
31.47,266.0,78.14
31.32,265.0,78.04
31.22,264.2,78.04
31.15,263.4,78.12
31.07,263.2,78.16
30.97,263.8,78.13
30.87,264.5,78.1
30.72,266.2,78.22
30.55,268.0,78.36
30.47,269.3,78.59
30.41,270.3,78.86
30.33,271.1,79.27
30.2,271.6,79.84
30.07,272.2,80.41
29.78,271.8,80.49
29.47,271.4,80.55
29.17,270.6,80.46
28.88,269.5,80.34
