TymeBreathRate,tidal_volume,TymeVentilation
27.07,214.2,60.62
27.07,214.1,60.54
27.07,214.1,60.46
27.02,212.9,60.27
26.95,211.0,60.0
26.91,210.0,59.91
26.97,211.1,60.28
26.99,211.3,60.42
27.0,210.9,60.4
27.01,210.5,60.38
27.04,210.1,60.34
27.1,209.6,60.28
27.17,209.0,60.21
27.35,207.6,60.0
27.57,206.1,59.65
27.84,204.7,59.02
28.03,204.7,58.68
28.14,205.9,58.58
28.26,207.1,58.48
28.37,208.3,58.38
28.64,208.8,58.09
28.93,209.2,57.77
29.2,208.0,57.79
29.43,207.6,57.83
29.54,209.5,57.97
29.65,211.5,58.1
29.85,212.2,58.45
30.03,212.7,58.73
30.17,212.9,58.89
30.3,213.0,59.06
30.4,213.4,59.18
30.48,214.1,59.26
30.46,214.8,59.01
30.44,213.2,59.04
30.41,211.2,59.13
30.33,211.6,59.3
30.23,213.4,59.52
30.11,213.7,59.45
29.97,213.1,59.2
29.84,212.5,58.94
29.57,211.0,58.58
29.27,209.4,58.2
29.09,209.0,57.93
28.9,208.7,57.66
28.81,211.3,57.84
28.74,214.8,58.13
28.62,216.0,58.04
28.47,216.2,57.76
28.33,215.3,57.26
28.19,213.5,56.59
28.06,211.7,55.92
27.91,210.7,55.54
27.73,211.3,55.78
27.54,212.0,55.99
27.31,213.2,55.94
27.14,213.8,55.91
27.05,213.5,55.92
26.96,213.2,55.94
