skin_temperature,HeatStrainIndex,hrv
31.35,0.8,446:462
31.35,0.8,460:460
31.35,0.8,456:458
31.35,0.8,920
31.35,0.8,1378
31.35,0.8,456:458
31.35,0.8,453
31.35,0.8,465:465:463
31.35,0.8,460:467
31.35,0.8,462:462
31.3,0.8,465
31.35,0.8,922:465
31.35,0.8,465:462:465
31.35,0.8,465:462
31.35,0.8,462:465
31.35,0.8,462:460
31.35,0.8,456:467:465
31.35,0.8,463:456
31.35,0.8,935
31.35,0.8,460:467
31.35,0.8,467:460
31.35,0.8,463:467
31.35,0.8,465:462
31.35,0.8,462:467
31.4,0.8,469:467:463
31.4,0.8,470:467
31.4,0.8,469:463
31.4,0.8,465:467
31.35,0.8,469:469
31.4,0.8,469:465
31.4,0.8,470:467
31.4,0.8,469:467:462
31.4,0.8,472:467
31.35,0.8,465:469
31.4,0.8,472:467
31.35,0.8,469
31.4,0.8,941:465
31.4,0.8,474:474
31.35,0.8,467:474
31.4,0.8,474:469:472
31.4,0.8,474:469
31.4,0.8,474:474
31.4,0.8,472:470
31.4,0.8,465:474
31.4,0.8,474:470
31.4,0.8,474:472
31.35,0.8,469:470
31.4,0.8,465:467:462
31.4,0.8,469:467
31.4,0.8,462:460
31.4,0.8,465:463
31.4,0.8,460:462
31.4,0.8,456:465:460
31.4,0.8,455:458
31.4,0.8,462:462
31.4,0.8,460:460
31.4,0.8,460:462
31.4,0.8,456:462
31.4,0.8,458:458
31.4,0.8,456:460:460
31.4,0.8,456:458
31.4,0.8,456
31.4,0.8,453:458:455
31.4,0.8,455:453
31.4,0.8,446:458:456
31.4,0.8,455:453
31.45,0.8,453
31.45,0.8,916:456
31.4,0.8,453:455:458
31.4,0.8,458:458
31.45,0.8,453:458
31.4,0.8,917
31.4,0.8,456:453
31.4,0.8,462:462
31.4,0.8,456:455
31.45,0.8,463:465:462
31.45,0.8,460
31.4,0.8,455:465:463
31.45,0.8,462:460
31.4,0.8,460:467
31.45,0.8,469:469:467
31.45,0.8,474:472
31.45,0.8,467:470
31.45,0.8,465:470
31.45,0.8,467:456
31.45,0.8,469:465
31.45,0.8,467:458
31.45,0.8,460:456
31.45,0.8,469:467:465
31.45,0.8,458:469
31.45,0.8,465:460
31.45,0.8,467:467
31.45,0.8,462:460
31.45,0.8,462:467
31.5,0.8,465:463
31.45,0.8,460:460:467
31.5,0.8,465:460
31.45,0.8,926
31.5,0.8,467
31.5,0.8,930:460
31.5,0.8,467:467:467
31.5,0.8,469:467
31.5,0.8,465:465
31.5,0.8,470:470
31.5,0.8,467:463
31.5,0.8,470:470
31.5,0.8,465:462
31.5,0.8,462:469
31.5,0.8,469:467:465
31.5,0.8,458:469
31.5,0.8,467
31.5,0.8,465:462:467
31.55,0.8,463:458
31.5,0.8,453:462:462
31.5,0.8,458:455
31.55,0.8,463:460
31.55,0.8,458
31.55,0.8,911:458
31.55,0.8,455:446
31.55,0.8,460:455:451
31.55,0.8,456:453
31.55,0.8,446:458
31.55,0.8,453:446
31.55,0.8,448:449
31.55,0.8,455:453:451
31.55,0.8,449:455
31.55,0.8,449:449
31.55,0.8,453:451
31.55,0.8,451
31.55,0.8,449:907:449
31.55,0.8,449:446
31.55,0.8,907
31.55,0.8,455:455:451
31.55,0.8,449:458
31.55,0.8,455:449
31.55,0.8,458:456
31.55,0.8,453:455
31.55,0.8,458:455
31.55,0.8,453:456
31.55,0.8,911:453
31.55,0.8,460
31.55,0.8,
31.55,0.8,1840:462
31.55,0.8,460
31.55,0.8,922:465
31.55,0.8,458:462
31.55,0.8,510:945
31.55,0.8,474:472
31.55,0.8,354:451:460
31.55,0.8,458:456
31.6,0.8,455:451
31.55,0.8,455
31.55,0.8,907:451
31.55,0.8,456:456
31.55,0.8,453:449:460
31.55,0.8,456:456
31.55,0.8,451:460
31.55,0.8,460:456
31.55,0.8,917
31.55,0.8,456
31.55,0.8,455:921
31.55,0.8,458:455
31.55,0.8,925:460
31.55,0.8,460:460
31.55,0.8,455:460
31.55,0.8,460:453:458
31.55,0.8,456:460
31.55,0.8,462:458
31.55,0.8,453:463
31.55,0.8,460:453
31.55,0.8,462:458
31.55,0.8,453:460
31.55,0.8,462:462:458
31.55,0.8,462:458
31.55,0.8,460:463
31.55,0.8,460:460
31.55,0.8,458:465
31.55,0.8,465:456
31.55,0.8,467:467
31.55,0.8,929:469
31.55,0.8,462:472
31.55,0.8,467:465
31.55,0.8,469:469
31.55,0.8,465:469:465
31.55,0.8,463:462
31.55,0.8,470:469
31.55,0.8,467
